Month,Node,Strain,Score,NumNT,NumAA,NumTopKAA,DiversityScore,Infections,NumRecombsDetectedByMonth,EarliestSampleMonth,RecombEarliestDesc,UShERClusterSize,LogScore,LogSize,AverageCirculatingByLineageFitness,AverageCirculatingBySampleFitness,MaxCirculatingByLineageFitness,StdDevCirculatingLineageFitness,RecombFitnessNormBySampleAvgCirc,RecombFitnessNormalizedByMedian,UpperPercentileFitnessByLineage,DonorStrain,DonorID,DonorFitness,AcceptorStrain,AcceptorID,AcceptorFitness,RecombFitnessNormalizedByMaxParents,RecombFitnessNormalizedByAvgParents,DonorFitnessNormalizedByAverageByLineage,AcceptorFitnessNormalizedByAverageByLineage,ParentsHD
2023-02,node_1305677,XBB.1.5,0.8323338,101,72,11,112.148,10270797,28,2023-04,Spain/CT-LabRefCat-2523849/2023|EPI_ISL_17651940|2023-04-15,18,3.177483399999999,2.8903717578961645,28.81400101010101,22.018833297437503,35.22139040498717,3.187757490601867,1.089354429073578,0.8316654788652493,22.018833297437503,node_1914256,BF.1,0.69174844,node_1305664,XBB.1.5,0.83233374,1.0000000720864686,1.2757791122656486,0.6183932814826792,1.089354429073578,56
2023-02,node_1226671,XBB.1.5_17124,0.8733537,93,66,11,112.148,10270797,28,2023-08,USA/TX-PHH-SPID1004416370/2023|EPI_ISL_18341189|2023-08-09,8,3.3218730999999995,2.0794415416798357,28.81400101010101,22.018833297437503,35.22139040498717,3.187757490601867,1.2585684872732716,0.9608516160741112,22.018833297437503,node_1282429,XBB.1.5.72,0.8733537,node_1080881,XBB.1,0.8669059,1.0,0.9145225805530317,1.4671008666357253,1.2853046267577521,14
2023-02,node_917232,miscBA2BA1PostSpike,0.6210907,65,51,5,112.148,10270797,28,2023-07,Turkey/HSGM-AHSL-38/2023|EPI_ISL_18422130|2023-07-28,6,2.4078103999999994,1.791759469228055,28.81400101010101,22.018833297437503,35.22139040498717,3.187757490601867,0.5045502976585287,0.38519792430700467,22.018833297437503,node_911435,XCU,0.8313347,node_1545925,BA.2,0.5799008,0.7471006563301159,0.7186633961640451,0.9791607476950868,0.4249744854380555,65
2023-01,node_1114565,XBB.1.9,0.8322123,94,69,11,119.41,17219669,28,2023-02,England/PHEC-YYEN18W/2023|OX862672.1|2023-02-08,130,3.294175678699999,4.867534450455582,26.92397165354331,19.726039233989578,32.951783083175215,2.9623059821741604,1.3664773174308171,1.0097428058331728,19.726039233989578,node_1305187,XBL,0.832231,node_1114564,XBB.1.9,0.75408256,0.9999775302770504,1.065011848914656,1.2938146847060377,1.272311351963661,15
2023-02,node_1297994,FD.1.1,0.8733537,103,74,11,112.148,10270797,28,2023-02,Canada/QC-L00588271001/2023|EPI_ISL_17085889|2023-02-19,33,3.340600687999999,3.4965075614664802,28.81400101010101,22.018833297437503,35.22139040498717,3.187757490601867,1.2823605277757804,0.9790156022200415,22.018833297437503,node_1185142,XBB.1.18.1,0.83233374,node_1297915,FD.1.1,0.8733537,1.0,1.0701502419880113,1.1142385243228246,1.2823605277757804,22
2023-02,node_1112883,FL.3.2,0.8323338,97,67,11,112.148,10270797,28,2023-03,England/PHEC-YYEMYU5/2023|OX691371.1|2023-03-09,11,3.2535833999999997,2.3978952727983707,28.81400101010101,22.018833297437503,35.22139040498717,3.187757490601867,1.1754902021058222,0.8974256639936209,22.018833297437503,node_1046083,XBB.1.16,0.8705821,node_1112734,FL.3.2,0.8323338,0.9560658322747504,0.9213970345854526,1.3760487284154577,1.1754902021058222,22
2023-01,node_1188870,FW.3,0.7680033,93,67,11,119.41,17219669,28,2023-03,Russia/KDA-RII-MH136829S/2023|EPI_ISL_17665252|2023-03-15,46,3.2413249882999997,3.828641396489095,26.92397165354331,19.726039233989578,32.951783083175215,2.9623059821741604,1.2961332860574428,0.9577628873182327,19.726039233989578,node_1310894,XBB.6,0.74900407,node_1188661,XBB.1.28.1,0.7680034,0.9999998697922432,1.122181636209138,1.0138634554905774,1.2961605980769608,11
2023-02,node_1084026,FL.13,0.8323338,97,70,11,112.148,10270797,28,2023-02,Italy/VEN-IZSVe-23RS8040-4_VI/2023|EPI_ISL_16951780|2023-02-07,66,3.2541533449999993,4.189654742026425,28.81400101010101,22.018833297437503,35.22139040498717,3.187757490601867,1.1761603578268713,0.897937293050047,22.018833297437503,node_1083899,FL.13,0.83233374,node_1088305,XBB.1.9.1,0.78980434,1.0000000720864686,1.1154903453888807,1.1761603578268713,0.9326169394196413,7
2022-05,node_911455,XAY,0.7273627,68,57,3,94.8531,25217142,63,2022-06,SouthAfrica/NICD-N47705/2022|EPI_ISL_13830375|2022-06-28,1989,2.7325389929999995,7.5953872788539725,14.083182717391304,9.44446484170553,19.857202744879206,1.4058562788428426,1.627605887028192,1.0946751677911684,9.44446484170553,node_911454,B.1.1.529,0.6034778,node_1451807,BA.2,0.57984596,1.205284933430857,1.4865223700560994,1.2810734434027622,0.9087434336439898,50
2023-01,node_1101495,FL.4,0.8323338,96,68,10,119.41,17219669,28,2023-01,England/PHEC-YY89ZD7/2023|OX839768.1|2023-01-24,23,3.239281035099999,3.1354942159291497,26.92397165354331,19.726039233989578,32.951783083175215,2.9623059821741604,1.2934867558930547,0.9558072640818838,19.726039233989578,node_1100456,FL.4,0.8323338,node_1189840,XBB.1,0.75232023,1.0,1.0280990482877552,1.389382562091079,1.1268861924560414,22
2023-02,node_1270552,XBB.1.5_17124,0.83233374,100,69,11,112.148,10270797,28,2023-02,USA/SD-SDAIHG-2248/2023|OR458661.1|2023-02-21,6,3.177483399999999,1.791759469228055,28.81400101010101,22.018833297437503,35.22139040498717,3.187757490601867,1.089354429073578,0.8316654788652493,22.018833297437503,node_1185142,XBB.1.18.1,0.83233374,node_1270550,XBB.1.5_17124,0.8323338,0.9999999279135366,0.9887074900966203,1.1142385243228246,1.089354429073578,19
2021-05,node_912103,BA.2_dropout,0.4935679,46,37,2,140.826,22542204,83,2020-02,USA/2352575/2020|OR093153.1|2020-02-02,6260695,1.7382153200000003,15.649801759277972,2.3391775555555556,1.613015798643241,3.147764546102164,0.2726127047388279,3.525808340163731,2.4399197541163247,1.613015798643241,node_551588,BA.1,0.49101722,node_2410252,B.1.1.529,0.49803016,0.9910401811809951,1.0387456564772561,3.365410754400411,3.423177613075337,16
2023-02,node_1427771,CH.1.1.7,0.7985296,97,72,4,112.148,10270797,28,2023-03,NewZealand/23XA1505/2023|EPI_ISL_17423044|2023-03-16,26,3.069090608999998,3.258096538021482,28.81400101010101,22.018833297437503,35.22139040498717,3.187757490601867,0.9774505886232646,0.7462327137604,22.018833297437503,node_1427192,CH.1.1.1,0.7987751,node_1427770,CH.1.1.7,0.7985296,0.9996926544154919,0.9801838375449419,1.0303720121491788,0.9640509750151002,12
2023-02,node_1082449,XBB.1.43.1,0.8323338,95,66,11,112.148,10270797,28,2023-03,Russia/BA-RII-MH137936S/2023|EPI_ISL_17665339|2023-03-13,10,3.201856033999999,2.302585092994046,28.81400101010101,22.018833297437503,35.22139040498717,3.187757490601867,1.1162310626089964,0.8521843914459131,22.018833297437503,node_1041574,XBB.1.22,0.8323338,node_1082435,XBB.1.43.1,0.8323338,1.0,1.012191368667703,1.1157094201846773,1.0898637493993224,8
2021-04,node_908957,B.1.1.529,0.49356797,42,36,2,138.146,14772312,108,2020-02,USA/2352575/2020|OR093153.1|2020-02-02,6270090,1.7056256200000004,15.651301266573071,2.2191203296703295,1.5073697829534995,2.9864574002997224,0.15861492273067518,3.651942995814467,2.3805075637889543,1.5073697829534995,node_908955,B.1.1.529,0.4935679,node_551614,BA.1,0.5072309,0.9730636875631985,0.9328073337955042,3.6435872827294022,4.186417614327011,7
2023-01,node_1460944,BA.2,0.80503607,79,59,3,119.41,17219669,28,2023-02,Canada/QC-L00590945001/2023|EPI_ISL_17195759|2023-02-27,5,2.8162896999999987,1.6094379124341003,26.92397165354331,19.726039233989578,32.951783083175215,2.9623059821741604,0.8473428781081418,0.6261343414410455,19.726039233989578,node_911435,XCU,0.8313347,node_1460818,BA.2,0.7376804,0.9683657737371001,0.889346658237942,1.0929704143416068,0.8125697262982152,60
2023-02,node_1286773,XBB.1.5_17124,0.8323338,95,68,11,112.148,10270797,28,2023-03,Switzerland/VD-CHUV-GEN16264/2023|OX456460.1|2023-03-04,5,3.299280099999999,1.6094379124341003,28.81400101010101,22.018833297437503,35.22139040498717,3.187757490601867,1.2304524581241243,0.9393864893696641,22.018833297437503,node_1091804,XBB.1.9.1,0.8323338,node_1286758,XBB.1.5_17124,0.8323338,1.0,1.0501260344858494,1.1816001082838608,1.1618375700831256,19
2023-01,node_1214048,XBB.1.5_17124,0.8323338,94,66,11,119.41,17219669,28,2023-01,USA/NJ-CDC-QDX46060188/2023|OQ420234.1|2023-01-26,40,3.177483399999999,3.6888794541139363,26.92397165354331,19.726039233989578,32.951783083175215,2.9623059821741604,1.2159721113332238,0.8985287028554423,19.726039233989578,node_1066443,XBB.1.16.6,0.90488046,node_1213942,XBB.1.5_17124,0.8323338,0.9198273548751401,0.8328316610639674,1.7041188702699082,1.2159721113332238,26
2022-11,node_2061051,BA.5.2.2,0.6925275,80,59,6,116.172,12795215,46,2022-12,Norway/Ahus-4710/2022|EPI_ISL_16338847|2022-12-10,6,2.6562888193999994,1.791759469228055,23.480768027210885,17.16184208067388,30.615009710163577,2.422603375272082,0.8299418704411954,0.5817997801054222,17.16184208067388,node_3452334,AY.4,0.35446438,node_2061050,BA.5.2.2,0.6917484,1.0011262765479472,1.7587550037277067,0.13396237309549539,0.8098210062633369,98
2023-02,node_1207583,XBB.1.5_17124,0.8323338,95,66,11,112.148,10270797,28,2023-02,USA/NC-CORVASEQ-1085-9297/2023|EPI_ISL_16946678|2023-02-10,27,3.1774291227999996,3.295836866004329,28.81400101010101,22.018833297437503,35.22139040498717,3.187757490601867,1.0892953035699589,0.8316203396167475,22.018833297437503,node_1311958,XBB.3,0.74900407,node_1207527,XBB.1.5_17124,0.8323338,1.0,1.1190263565371388,0.8575082113039308,1.089354429073578,16
2023-01,node_1421962,DV.1,0.7995026,100,77,4,119.41,17219669,28,2023-01,Canada/QC-L00579897001/2023|EPI_ISL_16837910|2023-01-22,20,3.202461159999999,2.995732273553991,26.92397165354331,19.726039233989578,32.951783083175215,2.9623059821741604,1.2467268643721763,0.9212545763332728,19.726039233989578,node_1440810,BA.2.75.2,0.7259939,node_1421505,DV.1,0.7995027,0.9999998749222485,1.2099706478833396,0.8140286862738431,1.2467268643721763,20
2022-12,node_1849159,XCB,0.7503221,75,54,6,121.724,12388536,37,2022-12,Chile/NB-378/2022|EPI_ISL_16743083|2022-12-28,67,2.7474731169999993,4.204692619390966,25.13974424778761,18.327750279320902,31.412189659549473,2.413595608180351,0.8513404233443306,0.6190278737020392,18.327750279320902,node_1617133,BQ.1,0.7503221,node_1786275,BF.31.1,0.69196033,1.0,0.9613981265574769,0.9108251145867833,0.8602214473464397,21
2022-10,node_2065986,XBT,0.7457802,81,60,6,110.021,14721332,64,2022-11,Germany/BW-ChVir-LB-221209-5534/2022|EPI_ISL_16699358|2022-11-29,465,2.8726563779999985,6.142037405587356,21.04086282051282,15.481034184671575,27.561521735841218,2.038805325710437,1.1422964937348052,0.8458398316607156,15.481034184671575,node_2066163,BA.5.2,0.7457802,node_1974912,BA.5.2.34,0.7323387,1.0,0.9838317564014203,1.2057970665351,1.1163408118212652,33
2022-11,node_1295707,XBB.1.5_17124,0.83293974,95,66,11,116.172,12795215,46,2022-03,Canada/PE-NML-611223/2022|EPI_ISL_17488619|2022-03-27,6,3.260413099999999,1.791759469228055,23.480768027210885,17.16184208067388,30.615009710163577,2.422603375272082,1.518502518949436,1.0644895300253545,17.16184208067388,node_1301527,XBB.1.5_17124,0.8323338,node_1295703,XBB.1.5_17124,0.83233374,1.0007280011937518,1.0259532992495348,1.4844907205994282,1.475687915329111,8
2022-01,node_911454,B.1.1.529,0.6034778,58,51,3,95.6634,25614610,69,2022-05,SouthAfrica/NICD-N46078/2022|EPI_ISL_14112354|2022-05-30,1993,2.493127192999999,7.597396320212795,9.080473625,5.466431864797168,13.21389135483697,1.2279391908271038,2.2133364862325897,1.3408262680510428,5.466431864797168,node_3073166,AY.117,0.35446435,node_908961,B.1.1.529,0.53763187,1.1224740080977713,2.5705943884058158,0.4367759224014292,1.285266649709853,63
2022-09,node_1310274,XBB,0.74900407,89,64,10,102.288,25713990,75,2022-09,India/MH-RFIP16387/2022|EPI_ISL_16758532|2022-09-26,76,3.0387293599999987,4.330733340286331,19.62542208588957,14.427331352903995,25.14255578280895,1.3692233537860727,1.4471627881139564,1.067483540182038,14.427331352903995,node_1033627,XBB,0.74900407,node_1033369,BA.2.10,0.5794594,1.0,1.4043990868002074,1.4471627881139564,0.6137368546096545,32
2022-09,node_1365291,BA.2.3.20,0.74067324,86,67,4,102.288,25713990,75,2022-09,Australia/WA7198/2022|EPI_ISL_15026956|2022-09-02,417,2.937699683999999,6.0330862217988015,19.62542208588957,14.427331352903995,25.14255578280895,1.3692233537860727,1.3080994284047704,0.9649049990868529,14.427331352903995,node_1948484,BA.5.2,0.69174844,node_1365290,BA.2.3.20,0.74067324,1.0,1.1845465649718432,0.9945488932425137,1.2140589691860337,40
2022-12,node_1378081,XCA,0.7915986,91,71,6,121.724,12388536,37,2022-12,Singapore/16800/2022|EPI_ISL_16352127|2022-12-22,85,3.1224891023999994,4.442651256490317,25.13974424778761,18.327750279320902,31.412189659549473,2.413595608180351,1.2387128080448826,0.9006946394948395,18.327750279320902,node_1377983,BA.2.75,0.7936203,node_1440256,BA.2.75.2,0.7284404,0.9974525601222651,1.1772962174587571,1.1999585926015646,0.9043763906853023,22
2023-02,node_1419152,CH.1.1.30,0.7976948,97,68,4,112.148,10270797,28,2023-03,Germany/IMS-10201-CVDP-29EC9F90-5F73-44C7-A1F1-501DA0D59DE8/2023|OY196493.1|2023-03-06,17,3.006413209999999,2.833213344056216,28.81400101010101,22.018833297437503,35.22139040498717,3.187757490601867,0.9180669725977205,0.7008964098536589,22.018833297437503,node_1434839,XBK.1,0.7821101,node_1419137,CH.1.1.30,0.7976948,1.0,0.9438201963947912,0.9909564945971231,0.9544711961951634,21
2023-01,node_1111808,FL.5,0.8323338,97,70,11,119.41,17219669,28,2023-02,Germany/IMS-10122-CVDP-EF5AE919-3AA3-4E81-B2FA-7A69CCF2C067/2023|OY151172.1|2023-02-02,34,3.2728824999999997,3.5263605246161616,26.92397165354331,19.726039233989578,32.951783083175215,2.9623059821741604,1.3376882646805341,0.9884694641314568,19.726039233989578,node_1084354,FL.13,0.8315871,node_1116495,XBB.1.9.2,0.8323338,1.0,1.0096492505090162,1.3376882646805341,1.312119604747659,12
2022-11,node_1778972,BA.5.5,0.7451463,79,59,6,116.172,12795215,46,2023-01,Canada/AB-ABPHL-90905/2023|EPI_ISL_16706498|2023-01-04,5,2.7055952899999993,1.6094379124341003,23.480768027210885,17.16184208067388,30.615009710163577,2.422603375272082,0.8718890096749469,0.6112052568640229,17.16184208067388,node_1008486,BA.2,0.5837183,node_1778971,BA.5.5,0.7246608,1.0282690881030132,1.2525840963987915,0.5168994820783606,0.875244984998378,37
2023-02,node_1294292,XBB.1.5_17124,0.8323338,93,64,10,112.148,10270797,28,2023-02,USA/CA-CDC-LC1022095/2023|OQ614524.1|2023-02-23,15,3.1429651399999994,2.70805020110221,28.81400101010101,22.018833297437503,35.22139040498717,3.187757490601867,1.05239339483498,0.8034476505634542,22.018833297437503,node_1251361,XBB.1.5.16,0.83233374,node_1082770,XBB.1.9,0.75425875,1.0000000720864686,0.9517951454777255,1.089354429073578,1.1220319177369267,12
2023-01,node_1636209,BQ.1.1.18,0.77155226,82,62,6,119.41,17219669,28,2023-01,Italy/FVG-UD-65344000/2023|EPI_ISL_16888991|2023-01-25,13,2.831927882499999,2.5649493574615367,26.92397165354331,19.726039233989578,32.951783083175215,2.9623059821741604,0.8606979329013084,0.6360029066392311,19.726039233989578,node_1046283,XBB.1.16,0.8705821,node_1636208,BQ.1.1.18,0.77155226,0.8862487064689246,0.7183010833024615,1.5355896847608124,0.8608926620126687,69
2022-10,node_553513,BA.1,0.5332647,77,60,3,110.021,14721332,64,2022-11,Slovenia/238431/2022|EPI_ISL_16235930|2022-11-23,19,1.6948445003000008,2.9444389791664403,21.04086282051282,15.481034184671575,27.561521735841218,2.038805325710437,0.3517723050206997,0.2604779309868808,15.481034184671575,node_537713,BA.1,0.48720735,node_188075,B.1.1.222,0.19707769,1.0945333644904989,1.7353508224454972,0.33551755611583506,0.06990168300374988,57
2023-02,node_1428028,CH.1.1.28,0.7971515,97,73,4,112.148,10270797,28,2023-03,England/PHEC-YYEJ63I/2023|OX903665.1|2023-03-03,6,3.103296939999999,1.791759469228055,28.81400101010101,22.018833297437503,35.22139040498717,3.187757490601867,1.011464007678351,0.7722001910949804,22.018833297437503,node_1412912,CH.1.1.9,0.7971515,node_1428027,CH.1.1.28,0.7971515,1.0,1.0066627638841465,0.9978460849880023,1.0116928469492021,12
2023-02,node_1110949,XBB.1.9.1,0.8323338,90,66,10,112.148,10270797,28,2023-03,Beijing/BJCDC-0791/2023|EPI_ISL_17592203|2023-03-23,7,3.2315875588999994,1.9459101490553132,28.81400101010101,22.018833297437503,35.22139040498717,3.187757490601867,1.1499165939865716,0.877901543583245,22.018833297437503,node_1110948,XBB.1.9.1,0.83233374,node_1831397,BF.7.14,0.7323387,1.0000000720864686,1.1611732419517211,1.1947562072210178,0.7858553887778198,45
2022-10,node_1378038,BA.2.75,0.7936203,90,71,6,110.021,14721332,64,2022-11,Israel/ICH-741192391/2022|EPI_ISL_15927302|2022-11-20,74,3.1557977329999987,4.30406509320417,21.04086282051282,15.481034184671575,27.561521735841218,2.038805325710437,1.5161618750762713,1.1226770914720468,15.481034184671575,node_1406390,BN.3,0.7313559,node_1377982,BA.2.75,0.7936203,1.0,1.1715985876396375,1.1675815126911708,1.420611902821233,24
2022-09,node_1377982,BA.2.75,0.7936203,82,65,6,102.288,25713990,75,2022-10,SouthKorea/KDCA150199/2022|EPI_ISL_15609528|2022-10-19,382,3.0907033699999986,5.945420608606575,19.62542208588957,14.427331352903995,25.14255578280895,1.3692233537860727,1.524366557665572,1.1244320423914984,14.427331352903995,node_1407753,BM.2,0.7936203,node_1377968,BA.2.75,0.70643157,1.0,1.1135609998390692,1.5482992675076348,1.1895239103620505,16
2022-07,node_2065984,BA.5.2,0.74578017,77,59,6,96.9249,17732748,62,2022-06,India/MH-RFIP14365/2022|EPI_ISL_15421954|2022-06-29,484,2.872340799999999,6.182084906716632,16.86298347826087,13.299237265509571,21.858051448230086,1.5011445858973753,1.3292755769732465,1.0519572090432925,13.299237265509571,node_1376487,BA.2.75,0.6872067,node_2065720,BA.5.2,0.75998867,0.981304326550026,1.1164791467235742,1.0645888995994899,1.3166030480945552,47
2023-01,node_1188485,XBB.1,0.83233374,95,66,11,119.41,17219669,28,2023-02,USA/WA-PHL-032764/2023|EPI_ISL_17258626|2023-02-08,11,3.177580735099999,2.3978952727983707,26.92397165354331,19.726039233989578,32.951783083175215,2.9623059821741604,1.2160904738605984,0.8986161654931109,19.726039233989578,node_1208785,XBB.1.5_17124,0.8323338,node_1314567,XBB.2.11.1,0.7560019,0.9999999279135366,1.024410647212727,1.2160904738605984,1.1581341150177082,12
2023-02,node_1088305,XBB.1.9.1,0.78980434,93,65,10,112.148,10270797,28,2023-03,Germany/BW-RKI-I-1120541/2023|EPI_ISL_17255033|2023-03-02,6,3.0221374149999995,1.791759469228055,28.81400101010101,22.018833297437503,35.22139040498717,3.187757490601867,0.9326169394196413,0.7120045531736591,22.018833297437503,node_1088303,XBB.1.9.1,0.78980446,node_1084026,FL.13,0.8323338,0.9489033606468943,0.884732597591647,0.9320855505037167,1.1761603578268713,9
2023-02,node_1309803,XBB.1,0.8323338,97,67,11,112.148,10270797,28,2023-02,Scotland/SCOT-26779/2023|OX452372.1|2023-02-24,6,3.177395796399999,1.791759469228055,28.81400101010101,22.018833297437503,35.22139040498717,3.187757490601867,1.0892590018838588,0.8315926251664748,22.018833297437503,node_1306870,XBB.1.5.24,0.8323338,node_1190553,XBB.1,0.75425875,1.0,1.0283894460105594,1.089295220021012,1.02908319412828,7
2022-08,node_1365290,BA.2.3.20,0.74067324,89,67,3,95.1368,29650733,83,2022-09,Australia/WA7198/2022|EPI_ISL_15026956|2022-09-02,419,2.863093683999999,6.037870919922137,18.339765584415584,13.919491628499928,23.70943807782571,1.1438011504562444,1.2583527831252836,0.9533535461902323,13.919491628499928,node_1546124,BA.2,0.5794594,node_1365289,BA.2.3.20,0.74067324,1.0,1.2825824255199145,0.7167703136425394,1.245447097242677,32
2021-09,node_908961,B.1.1.529,0.53763187,44,38,2,128.393,19894993,117,2022-01,Philippines/PH-RITM-3349/2022|EPI_ISL_16454618|2022-01-11,9338,1.9495923000000002,9.141847375530883,2.7690025,2.322234428780467,6.589906972826612,0.16305261659692616,3.025457930371261,2.7621678685381843,2.322234428780467,node_3521674,B.1.617.2,0.3586902,node_908960,B.1.1.529,0.49996096,1.0753477031486618,1.8044717284997867,0.9364441947517779,2.416845172532004,46
2023-01,node_1714303,EA.1,0.7720501,93,69,6,119.41,17219669,28,2023-03,Turkey/HSGM-AA00075/2023|EPI_ISL_18228585|2023-03-01,15,3.0547879099999986,2.70805020110221,26.92397165354331,19.726039233989578,32.951783083175215,2.9623059821741604,1.0755674239139323,0.7947782627870782,19.726039233989578,node_2003607,BA.5.2,0.69026273,node_1714294,EA.1,0.7725369,0.9993698682871976,1.2179639143278223,0.6802939114464882,1.0858789796568142,43
2022-08,node_1707460,BQ.1.1,0.77253693,80,62,6,95.1368,29650733,83,2022-04,Kazakhstan/Arctic-94/2022|EPI_ISL_18321265|2022-04-11,742,2.9673594299999984,6.60934924316738,18.339765584415584,13.919491628499928,23.70943807782571,1.1438011504562444,1.396639922761376,1.0581226830590993,13.919491628499928,node_1365460,BA.2.3.20,0.74067324,node_1706181,BQ.1.1,0.7725369,1.0000000388330965,1.057145293571894,1.2456457332479205,1.396639922761376,53
